ImageName;UpstreamRegistryAddress;DefaultTag
Syft;docker.io/anchore/syft;v1.41.2
Alpine;docker.io/library/alpine;3.23.4
Betterleaks;ghcr.io/betterleaks/betterleaks;v1.4.1
SCBuilder;aniondev/scbuilder;v1.2.13
PlantUML;plantuml/plantuml;1.2026.8
